ID,page,time,look_tel,look_information
tcbantnuvs446h5rhg73v8ob2fsrt8ir,738947,"2020-08-20 00:05:51",0,0
70pvkr24rvirhncbiahvfc7vlpl2glpa,769290,"2020-08-20 00:05:52",0,0
if5iu38g9npdrshh2aa3c4kqo3bv5md4,745849,"2020-08-20 00:05:52",0,0
hmu5e608kg4bisaeste6vidr0mt6mlqq,737519,"2020-08-20 00:05:58",0,0
cl04fmh71hb3cm2av2u0ni5dl3raljbh,768614,"2020-08-20 00:05:59",0,0
7jm1eaqrupid713k9kmal49hibt3s2bp,769572,"2020-08-20 00:06:09",0,0
utao57mof12t2dtaurlde3nlchhg50c3,769722,"2020-08-20 00:06:12",0,0
909p8b7stg7b8t1rpmmtf2chgr10747k,769744,"2020-08-20 00:06:21",0,0
5eubo9g7q9os3vu0av0bpcligtqfee2m,627966,"2020-08-20 00:06:24",0,0
63vigas8r6pclidpb5s12pqjitsotjh9,648142,"2020-08-20 00:06:27",0,0
go3jvr37qooakrknfv51ldfblt51ml5s,610062,"2020-08-20 00:06:29",0,0
6urbgemmc8efpd7j61hce84fedcajt29,769616,"2020-08-20 00:06:33",0,0
bl6ql715k66uq9ea0cbo1fj4495mb6ut,768682,"2020-08-20 00:06:40",0,0
t7ns6c16gv4jisd1v5tvspgs1km406oe,770126,"2020-08-20 00:06:51",0,0
n05m9p9rgks3shgjur64qquq1kk91a1e,765315,"2020-08-20 00:06:54",0,0
ptrd67jbh0d3b49lor0h92neb8399gtf,764581,"2020-08-20 00:06:54",0,0
q5nfjd3nim2pr5ojec09lui8fv2u21qt,769735,"2020-08-20 00:06:56",0,0
89va2dq7h5erskhq2jc03hdhb20ljopb,747222,"2020-08-20 00:07:06",0,0
ggedugod8oi3aiq1g64n915fbma10n3s,675143,"2020-08-20 00:07:09",0,0
9ivhor5jjt46f7j79uus3p32hkhjh5hv,730740,"2020-08-20 00:07:16",0,0
auaiaj9sbt3fqqga1fn7hnhqqh2eijjg,697534,"2020-08-20 00:07:19",0,0
5v25gu70p2d19kqal7lcqqcrjahuvdhe,770128,"2020-08-20 00:07:21",0,0
3e1p0akecmib9ba0tfqql1ivipfbai8f,769642,"2020-08-20 00:07:22",0,0
4rklpsi7ceta6io3b2o0bl86l7e50rvm,234829,"2020-08-20 00:07:23",0,0
1kmuobn48r549vop7jmdru0ak4rbhikg,685490,"2020-08-20 00:07:25",0,0
13464a9anh5ostm3rk38ft997uq7aebk,769751,"2020-08-20 00:07:26",0,0
1odi1s4p8a4gkppnn0mej29tmrirej41,769597,"2020-08-20 00:07:29",0,0
ipelr3vqjspjhdqbaf78md4rppq3sp7i,761669,"2020-08-20 00:07:31",0,0
2vpovattllpjd7g7bggus8lts002d4kt,627966,"2020-08-20 00:07:34",0,0
54q04cvdpghgahnaon08in2oipso6qgg,769072,"2020-08-20 00:07:37",0,0
o5q6vtd9emdusgr0qa7cn6ucfkbrkk6r,766065,"2020-08-20 00:07:40",0,0
bpumn9i62butruch8b7nffvmof5tmkga,769390,"2020-08-20 00:07:40",0,0
51b46hnuj14daio21579753u248ktpug,620155,"2020-08-20 00:07:43",0,0
lrsesi4d4bjke27v18pairk0m2uvvo68,758130,"2020-08-20 00:07:45",0,0
7gaqgcnufnjatpgber6ltdpvr6t8jg7b,559879,"2020-08-20 00:07:51",0,0
lodv3km9oqemdk7hgs4reffp9fag5g0s,315344,"2020-08-20 00:08:13",1,1
