en,th,latitude,longitude
,สถานีเลี่ยงเมืองปากเกร็ด,13.906630599999998,100.51430069999999
,สถานีแยกปากเกร็ด,13.907506900000001,100.5045901
,สถานีเคหะสมุทรปราการ,13.567638199999998,100.60771290000001
,สถานีสายลวด,13.5777728,100.60541690000001
,สถานีแพรกษา,13.584288199999998,100.60787380000001
,สถานีศรีนครินทร์,13.593298499999998,100.6082761
,สถานีสมุทรปราการ,13.6021858,100.5970833
,สถานีโรงเรียนนายเรือ,13.6085859,100.59485169999999
,สถานีวัดศรีวารีน้อย,13.610869500000002,100.7602823
,สถานีบางโฉลง,13.617042499999998,100.7466459
,สถานีเอราวัณ,13.621466199999999,100.5901578
,สถานีธนาซิตี้,13.6248212,100.728836
,สถานีมหาวิทยาลัยเกริก,13.634179099999999,100.74023009999999
,สถานีบางพลี,13.6347057,100.70965290000001
,สถานีปู่เจ้าสมิงพราย,13.6372549,100.5920058
,สถานีสำโรง,13.6454394,100.5954928
,สถานีวัดสกุล,13.6456532,100.6907272
,สถานีท่าอากาศยานสุวรรณภูมิ,13.6481554,100.7465172
,สถานีบางแก้ว,13.6544109,100.6740761
,สถานีปลัดเปรียง,13.661833800000002,100.6607723
,สถานีศรีเอี่ยม,13.665811900000001,100.6443174
,สถานีเซ็นทรัลซิตี้,13.667755300000001,100.6351948
,สถานีถาวรนิเวศน์,13.669756900000001,100.62515259999999
,สถานีห้าแยกลาดพร้าว,13.813524800000001,100.56029670000001
,สถานีพหลโยธิน 24,13.8229533,100.5658007
,สถานีรัชโยธิน,13.8270346,100.5681047
,สถานีเสนานิคม,13.833996300000003,100.5721521
,สถานีเกษตรศาสตร์,13.8419552,100.5768406
,สถานีกรมป่าไม้,13.8487576,100.5809391
,สถานีบางบัว,13.8570701,100.5858529
,สถานีกองทหารราบที่ 11,13.862882500000001,100.5893505
,สถาวัดพระศรีมหาธาตุ,13.874402700000001,100.5960452
,สถานีอนุสาวรีย์หลักสี่,13.879891800000001,100.59924240000001
,สถานีสายหยุด,13.886599300000002,100.603255
,สถานีสะพานใหม่,13.8946293,100.6079167
,สถานีโรงพยาบาลภูมิพลอดุลยเดช,13.909324300000002,100.61653740000001
,สถานีพิพิธภัณฑ์กองทัพอากาศ,13.9196133,100.6225777
,สถานีกม.25,13.926257099999999,100.626503
,สถานีคูคต,13.9332862,100.64225440000001
,สถานีหลักสอง,13.7108484,100.409503
